tweet,user_name,country,user_location,language
i know that our young girls in high school are being sexually harrassed by muslims rubbing themselves against the g ,Ann ,NONE,Canada,en
agree with you i amp istandwithnra 2arights freespeech sick of being bullied by alt le ,Maggie,NONE,USA,en
on periscope i was attacked bullied harassed by management los angeles because i support tru ,MelissaA4Trump,NONE,USA,en
kids these days are being bullied by the internet to be trans this amp anti that leave them alone to play footbal ,Stevie Spain,NONE,Spain,en
jesse lee peterson was attacked bullied harassed by management los angeles because i support tr ,MelissaA4Trump,NONE,USA,en
the man abusing me verbally was yelling insults abuse at me even after i walked away all female insults ewwww i feel lucky its rare ,k brzezinska,NONE,USA,en
today i have been mainly stalked by american steeplechasers iaafworlds bethenext london2017 ,Kate Chant ,NONE,UK,en
17 men 1 woman arrested abused about 600 girls men appear from muslim immigrant communities yet uk police mo , ,NONE,NONE,en
looked back on some of my social medias realised i was stalked constantly tagged by some guy down the road from me who i ve never met ,Rose Tamani,NONE,UK,en
there is something wrong with this man i heard he abused the same woman for 5 days someone better ,Michael Grimaldi,NONE,USA,en
i think donald father abused his wife and that s how he learned to treat woman ,Megga,United States,USA,en
update i was attacked harassed and bullied by management at equinox sports club los angeles because i support ,Jesse Lee Peterson,NONE,USA,en
hong kong woman who abused her indonesian maid faces sentencing pls rt lifestyle news break,NewsVideo at 10,NONE,NONE,en
joy as a woman who has been abused before i understand its joke no man should put his hands on a wo ,Whitney Curry,NONE,USA,en
85 punching djs drug allegations under investigation for sexual assault and abuse to a female along with ,Pager,NONE,NONE,en
being bullied by a coby cotton fan account ,Mala ,NONE,NONE,en
shakila zareen s was abused tortured amp raped by 16yrs as a minimum she deserves asylum amp protection vaw ,Yasmin Khan,NONE,UK,en
i get bullied by everyone i think i will be forever alone if i dont get casted i keep get messages after messages l ,melissa,NONE,USA,en
here s a real criminal offense w evidence of extreme abuse of a black christian female vet ,Occupy FL HOAs,United States,NONE,en
i remember when i was stalked by the driver of a saudi in my early 20 s i had him follow my happy ass to the divin ,mcmamas,NONE,NONE,en
dawn scott damon live discussing her newest book when the woman abused was you a guide to healing from ,ChristianHealthCoach,NONE,USA,en
congratulations both of you for dragging down a female abuse survivor i hope you re happy ,dani,NONE,Australia,en
i was bullied by girls including my mother through my childhood so i have a pretty sol ,Shinamon hachimitsu,NONE,Nigeria,en
a godess at overwatch who likes to talk shit and gets bullied by 13 year olds ,Niggle,NONE,NONE,en
it makes me wonder what s going on behind closed doors really hope he isn t physically abusing her 2 bc the signs r ,Amber Black,NONE,Scotland,en
the pricey is spoton sarah is getting bullied by gemma cbbots we love truthfull amp a fab mummy,Diane Riley,NONE,UK,en
as everyday i m bullied by my neighbors and are shutmouth so we have to protect ourselves ,Digitalmermaid,NONE,NONE,en
now seriously on the missouri side in my nephew s neighborhood i feel like i m being stalked by ,Jan Evans,NONE,NONE,en
still doesn t mean he wasn t shite got bullied by seo all night and didn t do much,Hamez,NONE,Ireland,en
one eg is just recently a girl got stalked by a ki , ,NONE,NONE,en
i find it amazing that some fans refuse to believe a woman is telling the truth about being abused hit unless it is on video,Colleen,NONE,NONE,en
stay strong jesse america has your back ,Paul Arbanas ,NONE,NONE,en
injunction racist sex abuse daily female genitalia mutilation should never be allowed to be litigated with crimi ,Jo Lee,NONE,NONE,en
we all must join to stop this crime fight political backlash harassment in court s ,RadioInfidelShow,United States,NONE,en
it izzz bullshit the same way the db from michigan was supposed to have abused that woman ,Terry Lee,NONE,USA,en
ben please make sure to report they were posted the night after she was involved in a physical altercation at bar w ,Steven Vaughn,NONE,USA,en
some women are used to that treatment and those words so they justify it obviously abused mentally ,Ninja,NONE,USA,en
i was stalked by my colleague sydney news,WorldNews net,NONE,NONE,en
stalked by demons guarded by angels never be ashamed of a scar it simply means you where stronger to whatev ,Julieke,NONE,Belgium,en
i was stalked by my colleague news brisbane qld,Brisbane News,NONE,Australia,en
if u can take a minute break from ur spewing of moron idiocracy statements tell us what you think of the ,Coll1313,NONE,USA,en
so under the law he never abused any woman,AriGold,NONE,NONE,en
i was stalked by my colleague ,Mohammad Usman Anwar,NONE,NONE,en
i was stalked by my colleague ,Display Home Open,NONE,Australia,en
lord 88 a convicted offender stalked women onliine with rape amp death threats after prison didn t take long ,Suzanne Fernandes,NONE,UK,en
being stalked by a plazzy bag here,Christian M,NONE,UK,en
number32 i need nothing from you he abused a woman asshole i guess you don t have a daughter,Tom,NONE,USA,en
but if the court system cant say he abused a woman then how can the nfl saddle him with that title for rest of his life ,Brandon Brotzman,NONE,USA,en
i could write here for hours tell you everything i know but nobody really follows me i just get stalked by other crazy fucks ,Ali,NONE,NONE,en
keep raising the roof man thx for speaking out ,Bridgett Thompson,NONE,USA,en
