tweet,user_name,country,user_location,language
once when i was junior high i got bullied too by 1 fudge person at that time people still use landline instead of cellphone ,Syamsumarlin,NONE,Indonesia,en
it s actually not okay man it was a harrowing experience for me ,navy neptune,NONE,South Africa,en
even before gabriela stood up you just want to be selective pls read kaya walang tiwala ang tao sa lp ,Jude Mangilog,NONE,Philippines,tl
we did not mean by jype bullying yerin we meant by haters bullying her and making groundless assumptions pls do n ,YerinB Supporters,NONE,NONE,en
wine and champagne is the business ,Gene,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence via ,Aburidwan Abutahir,NONE,NONE,en
this is so sad she s been bullied by her classmates so you can imagine how hatred is being taught , Ibrahim,NONE,United Kingdom,en
mclachlan needs to go now amp the afl board need to step up take control amp in doing so make a definative statement ,Peter Forbes,NONE,Australia,en
breaks my heart found out my 13 yr old son is being bullied and intimidated by another kid and his so called mates surrounded him , Lindsey ,NONE,United Kingdom,en
i tired of getting bullied by my friend s for ruining group messages and looking like a wax figure on snapchat anymore i m getting an iphone,Drew Holstine,NONE,USA,en
no more getting bullied by mosquitos after today wahey,reece,NONE,United Kingdom,en
today i got bullied by a 7 year old in clout goggles so yea u could say my life is pretty shite,Linda,Canada,NONE,en
men are not weak if they are abused by a woman ,bea WHYMV,NONE,NONE,en
in myanmar stalked by violence rohingya muslims says they live in fear ,Pulse Nigeria,NONE,NONE,en
this was good by her but you are choosing to ignore this not sure why ,Michael Taylor,NONE,NONE,en
sa woman tells story of recovery after being abused living on the streets pls rt ,Know Your Video Leak,NONE,NONE,en
i wanna know how it feels being stalked on social media adored and loved by others anyone do dis to me haha,Kaiers AB ,NONE,NONE,en
how terrible lindsey i ve experienced this 1st hand with my eldest yrs ago the school were amazing amp the bullies ,Sharon Wrench,NONE,United Kingdom,en
do you think the new doctor who has time to read all those sexist remarks what with all the ironing pilling up as it does apparently ,Midlife Telescope,NONE,United Kingdom,en
alec baldwin a woman abused cries about mike cernovich mike cernovich pe pls rt m,KnowYourNewsNow,NONE,NONE,en
im gonna screams , ,NONE,Brazil,en
introversion is born social anxiety is made got mine nung 3rd yr hs being bullied by classmates kaya pa pero pag pati teachers na ,k ara lane,NONE,NONE,en
it was wrong and he s correct she could have been abused by some nut it was abusive to post her pic period proof ,NextGenEco,NONE,NONE,en
thank you super upset by it all tbh all i did was point out ablei ,tiny punx ,NONE,NONE,en
i will not be bullied off the road by a taxi driver like he pays etoll ,Phumudzo,NONE,South Africa,en
i remembered your name i stood up for you and contacted a publishing house for you when ,Tiffany Horan,NONE,Europe,en
life is hard jo what u expect ,Her Majesty,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence ,MalaysiaUpdate,NONE,Malaysia,en
if mclachlan s defense is that he knew nothing of these affairs then he lacks the prof skill set that he sold hims ,Peter Forbes,NONE,Australia,en
fgm female genital mutilation is a islamic authorized form of child abuse why is the world silent 1500300028,Zvi Lando,NONE,Israel,en
lowkey reminds me of the curious case of benjamin button the plot of being judged and bullied by others lol, ,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence ,The Star Mobile Team,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence ,The Star,NONE,Malaysia,en
watching the highlights and seeing jones get bullied by an mls striker for the first goal ,yz,NONE,NONE,en
beautiful 16 was found hanged in school toilets after being bullied by jealous school children ,Carl Barron,NONE,New zealand,en
also if it s a female they always abuse the fuck out of the smoothing feature on facetune and over edit their eyes ,kylie ,NONE,USA,en
myanmar s rohingya cornered by poverty stalked by violence ,Azizi Othman,NONE,Malaysia,en
wheeeen will a girl be able to walk alone freely and safely without the danger of being disturbed catcalled or even harrassed ,PUPUT,NONE,Indonesia,en
sunggyu get bullied by his members babysoul get bullied by her members daeyeol get bullied by his member woollim s leaders fate indeed,laily,NONE,NONE,en
so sad very dark destructive forces gave been unleashed amp legitimised by brexit heartbreaking ,Scott Macdonald,NONE,Scotland,en
yes works to reduce traffic as well especially mabopane highway here that anc was bullied by taxi drivers ,Aegon s descendant,NONE,NONE,en
so sad very dark destructive forces gave been unleashed amp legitimised by brexit heartbreaking ,Scott Macdonald,NONE,Scotland,en
tip how to prevent female reporters from becoming targets of abuse on socialmediatips ,Keyhole Social Media,NONE,Dubai United Arab Emirates,en
she s a 3 for the price of 1 not white muslim woman they conveniently forget her rac ,Melvyn Slagg,NONE,NONE,en
contrast newspaper coverage of this tragic polish migrant story with that of others of immigrants from th ,EKEM Branch,NONE,United Kingdom,en
so sad very dark destructive forces gave been unleashed amp legitimised by brexit heartbreaking ,Scott Macdonald,NONE,Scotland,en
2 years on and still the most harrowing experience ,smoss,NONE,United Kingdom,en
stalked by the gay werewolf biker,chuckbot,NONE,NONE,en
this i am doing under protest and after being bullied by you ,Winter Is Here,NONE,India,en
legendary ,meme,NONE,NONE,in
this is soooo funny ,Blacc Chyna News,NONE,NONE,en
here is a news stormzy s retired headmaster stalked by off shore swindon traffic control white paper,Confewsinternational,NONE,NONE,en
